file,topic,level,topic_name
t01_b.md,t01,basic,Разнообразие живых организмов. Биосфера и экосистема
t01_m.md,t01,medium,Разнообразие живых организмов. Биосфера и экосистема
t01_h.md,t01,high,Разнообразие живых организмов. Биосфера и экосистема
t02_b.md,t02,basic,Питание
t02_m.md,t02,medium,Питание
t02_h.md,t02,high,Питание
t03_b.md,t03,basic,Транспорт веществ
t03_m.md,t03,medium,Транспорт веществ
t03_h.md,t03,high,Транспорт веществ
t04_b.md,t04,basic,Дыхание
t04_m.md,t04,medium,Дыхание
t04_h.md,t04,high,Дыхание
t05_b.md,t05,basic,Выделение
t05_m.md,t05,medium,Выделение
t05_h.md,t05,high,Выделение
t06_b.md,t06,basic,Движение. Биофизика
t06_m.md,t06,medium,Движение. Биофизика
t06_h.md,t06,high,Движение. Биофизика
t07_b.md,t07,basic,Координация и регуляция
t07_m.md,t07,medium,Координация и регуляция
t07_h.md,t07,high,Координация и регуляция
t08_b.md,t08,basic,Размножение. Рост и развитие
t08_m.md,t08,medium,Размножение. Рост и развитие
t08_h.md,t08,high,Размножение. Рост и развитие
t09_b.md,t09,basic,Клеточный цикл. Клеточная биология
t09_m.md,t09,medium,Клеточный цикл. Клеточная биология
t09_h.md,t09,high,Клеточный цикл. Клеточная биология
t10_b.md,t10,basic,Закономерности наследственности и изменчивости. Основы селекции
t10_m.md,t10,medium,Закономерности наследственности и изменчивости. Основы селекции
t10_h.md,t10,high,Закономерности наследственности и изменчивости. Основы селекции
t11_b.md,t11,basic,Молекулярная биология и биохимия
t11_m.md,t11,medium,Молекулярная биология и биохимия
t11_h.md,t11,high,Молекулярная биология и биохимия
t12_b.md,t12,basic,"Микробиология, биотехнология, биомедицина и биоинформатика"
t12_m.md,t12,medium,"Микробиология, биотехнология, биомедицина и биоинформатика"
t12_h.md,t12,high,"Микробиология, биотехнология, биомедицина и биоинформатика"
